# hcb, nubosidad, mes, orientacion, pendiente, modelo_combustible, hora -> hcb_c
(15, 100, 4, 0, 60, 0, 0) -> 0
(15, 100, 12, 315, 45, 9, 0) -> 20
(0, 100, 10, 315, 15, 1, 0) -> 5
(20, 40, 5, 225, 60, 3, 6) -> 25
(15, 0, 10, 135, 45, 1, 6) -> 20
(5, 20, 9, 90, 45, 5, 12) -> 6
(0, 60, 11, 0, 0, 3, 6) -> 5
(20, 60, 3, 0, 15, 11, 12) -> 24
(15, 20, 3, 90, 60, 6, 6) -> 20
(5, 100, 6, 315, 30, 5, 12) -> 8
(10, 0, 4, 135, 15, 10, 0) -> 15
(10, 60, 11, 45, 30, 2, 12) -> 13
(20, 80, 5, 135, 45, 7, 12) -> 23
(15, 100, 6, 90, 30, 3, 0) -> 20
(10, 20, 2, 90, 30, 4, 18) -> 14
(15, 20, 3, 315, 30, 5, 0) -> 20
(15, 0, 9, 135, 0, 9, 18) -> 20
(0, 100, 9, 270, 60, 11, 12) -> 4
(20, 40, 10, 90, 60, 1, 12) -> 21
(20, 0, 6, 90, 30, 7, 18) -> 25
(10, 60, 2, 180, 0, 8, 6) -> 15
(5, 100, 10, 180, 30, 5, 6) -> 10
(20, 100, 10, 225, 45, 4, 12) -> 24
(20, 20, 1, 45, 0, 5, 0) -> 25
(0, 60, 7, 45, 30, 0, 12) -> 0
(15, 0, 10, 0, 15, 9, 0) -> 20
(15, 0, 2, 135, 15, 1, 6) -> 20
(15, 60, 2, 90, 45, 11, 6) -> 20
(10, 0, 3, 90, 30, 8, 6) -> 15
(20, 80, 4, 90, 45, 2, 12) -> 24
(20, 80, 10, 0, 60, 6, 6) -> 25
(0, 100, 9, 315, 30, 2, 6) -> 5
(5, 40, 9, 45, 0, 4, 6) -> 10
(15, 60, 5, 45, 60, 11, 6) -> 19
(10, 80, 1, 90, 15, 10, 0) -> 15
(10, 60, 5, 90, 15, 0, 12) -> 0
(15, 20, 12, 90, 30, 0, 12) -> 0
(5, 40, 11, 180, 0, 5, 0) -> 10
(20, 80, 12, 135, 30, 1, 18) -> 25
(15, 60, 4, 270, 45, 7, 18) -> 20
(0, 60, 10, 90, 0, 10, 6) -> 5
(20, 100, 3, 270, 45, 9, 0) -> 25
(10, 20, 1, 180, 30, 2, 0) -> 15
(10, 0, 12, 135, 45, 0, 0) -> 0
(5, 0, 6, 90, 45, 0, 12) -> 0
(15, 80, 10, 180, 0, 9, 0) -> 20
(10, 60, 12, 135, 60, 1, 18) -> 15
(20, 40, 7, 225, 0, 9, 6) -> 24
(0, 100, 2, 315, 0, 10, 12) -> 4
(10, 60, 11, 135, 45, 0, 12) -> 0
# nodatas
#(-999, 60, 11, 135, 45, 0, 12) -> -999
#(10, -999, 11, 135, 45, 0, 12) -> -999
#(10, 60, 11, 135, 45, -999, 12) -> -999
#hora fuera rango
(10, 60, 11, 135, 45, 0, 25) -> 0
