# temperatura, humedad relativa, hora -> hcb
(-20, 0, 0) -> 1
(-20, 0, 1) -> 1
(-20, 0, 2) -> 1
(-20, 0, 3) -> 1
(-20, 0, 4) -> 1
(-20, 0, 5) -> 1
(-20, 0, 6) -> 1
(-20, 0, 7) -> 1
(-20, 0, 8) -> 1
(-20, 0, 9) -> 1
(-20, 0, 10) -> 1
(-20, 0, 11) -> 1
(-20, 0, 12) -> 1
(-20, 0, 13) -> 1
(-20, 0, 14) -> 1
(-20, 0, 15) -> 1
(-20, 0, 16) -> 1
(-20, 0, 17) -> 1
(-20, 0, 18) -> 1
(-20, 0, 19) -> 1
(-20, 0, 20) -> 1
(-20, 0, 21) -> 1
(-20, 0, 22) -> 1
(-20, 0, 23) -> 1
(-20, 5, 0) -> 2
(-20, 5, 1) -> 2
(-20, 5, 2) -> 2
(-20, 5, 3) -> 2
(-20, 5, 4) -> 2
(-20, 5, 5) -> 2
(-20, 5, 6) -> 2
(-20, 5, 7) -> 2
(-20, 5, 8) -> 2
(-20, 5, 9) -> 2
(-20, 5, 10) -> 2
(-20, 5, 11) -> 2
(-20, 5, 12) -> 2
(-20, 5, 13) -> 2
(-20, 5, 14) -> 2
(-20, 5, 15) -> 2
(-20, 5, 16) -> 2
(-20, 5, 17) -> 2
(-20, 5, 18) -> 2
(-20, 5, 19) -> 2
(-20, 5, 20) -> 2
(-20, 5, 21) -> 2
(-20, 5, 22) -> 2
(-20, 5, 23) -> 2
(-20, 10, 0) -> 2
(-20, 10, 1) -> 2
(-20, 10, 2) -> 2
(-20, 10, 3) -> 2
(-20, 10, 4) -> 2
(-20, 10, 5) -> 2
(-20, 10, 6) -> 2
(-20, 10, 7) -> 2
(-20, 10, 8) -> 2
(-20, 10, 9) -> 2
(-20, 10, 10) -> 2
(-20, 10, 11) -> 2
(-20, 10, 12) -> 2
(-20, 10, 13) -> 2
(-20, 10, 14) -> 2
(-20, 10, 15) -> 2
(-20, 10, 16) -> 2
(-20, 10, 17) -> 2
(-20, 10, 18) -> 2
(-20, 10, 19) -> 2
(-20, 10, 20) -> 2
(-20, 10, 21) -> 2
(-20, 10, 22) -> 2
(-20, 10, 23) -> 2
(-20, 15, 0) -> 3
(-20, 15, 1) -> 3
(-20, 15, 2) -> 3
(-20, 15, 3) -> 3
(-20, 15, 4) -> 3
(-20, 15, 5) -> 3
(-20, 15, 6) -> 3
(-20, 15, 7) -> 3
(-20, 15, 8) -> 3
(-20, 15, 9) -> 3
(-20, 15, 10) -> 3
(-20, 15, 11) -> 3
(-20, 15, 12) -> 3
(-20, 15, 13) -> 3
(-20, 15, 14) -> 3
(-20, 15, 15) -> 3
(-20, 15, 16) -> 3
(-20, 15, 17) -> 3
(-20, 15, 18) -> 3
(-20, 15, 19) -> 3
(-20, 15, 20) -> 3
(-20, 15, 21) -> 3
(-20, 15, 22) -> 3
(-20, 15, 23) -> 3
(-20, 20, 0) -> 4
(-20, 20, 1) -> 4
(-20, 20, 2) -> 4
(-20, 20, 3) -> 4
(-20, 20, 4) -> 4
(-20, 20, 5) -> 4
(-20, 20, 6) -> 4
(-20, 20, 7) -> 4
(-20, 20, 8) -> 4
(-20, 20, 9) -> 4
(-20, 20, 10) -> 4
(-20, 20, 11) -> 4
(-20, 20, 12) -> 4
(-20, 20, 13) -> 4
(-20, 20, 14) -> 4
(-20, 20, 15) -> 4
(-20, 20, 16) -> 4
(-20, 20, 17) -> 4
(-20, 20, 18) -> 4
(-20, 20, 19) -> 4
(-20, 20, 20) -> 4
(-20, 20, 21) -> 4
(-20, 20, 22) -> 4
(-20, 20, 23) -> 4
(-20, 25, 0) -> 5
(-20, 25, 1) -> 5
(-20, 25, 2) -> 5
(-20, 25, 3) -> 5
(-20, 25, 4) -> 5
(-20, 25, 5) -> 5
(-20, 25, 6) -> 5
(-20, 25, 7) -> 5
(-20, 25, 8) -> 5
(-20, 25, 9) -> 5
(-20, 25, 10) -> 5
(-20, 25, 11) -> 5
(-20, 25, 12) -> 5
(-20, 25, 13) -> 5
(-20, 25, 14) -> 5
(-20, 25, 15) -> 5
(-20, 25, 16) -> 5
(-20, 25, 17) -> 5
(-20, 25, 18) -> 5
(-20, 25, 19) -> 5
(-20, 25, 20) -> 5
(-20, 25, 21) -> 5
(-20, 25, 22) -> 5
(-20, 25, 23) -> 5
(-20, 30, 0) -> 5
(-20, 30, 1) -> 5
(-20, 30, 2) -> 5
(-20, 30, 3) -> 5
(-20, 30, 4) -> 5
(-20, 30, 5) -> 5
(-20, 30, 6) -> 5
(-20, 30, 7) -> 5
(-20, 30, 8) -> 5
(-20, 30, 9) -> 5
(-20, 30, 10) -> 5
(-20, 30, 11) -> 5
(-20, 30, 12) -> 5
(-20, 30, 13) -> 5
(-20, 30, 14) -> 5
(-20, 30, 15) -> 5
