# nubosidad (%), modelo combustible -> sombreado (%)
8, 7 -> 75
(0, 0) -> 0
(0, 1) -> 0
(0, 2) -> 0
(0, 3) -> 0
(0, 4) -> 0
(0, 5) -> 0
(0, 6) -> 0
(0, 7) -> 75
(0, 8) -> 75
(0, 9) -> 75
(0, 10) -> 75
(0, 11) -> 75
(0, 12) -> 75
(5, 0) -> 3.75
(5, 1) -> 3.75
(5, 2) -> 3.75
(5, 3) -> 3.75
(5, 4) -> 3.75
(5, 5) -> 3.75
(5, 6) -> 3.75
(5, 7) -> 75
(5, 8) -> 75
(5, 9) -> 75
(5, 10) -> 75
(5, 11) -> 75
(5, 12) -> 75
(10, 0) -> 7.5
(10, 1) -> 7.5
(10, 2) -> 7.5
(10, 3) -> 7.5
(10, 4) -> 7.5
(10, 5) -> 7.5
(10, 6) -> 7.5
(10, 7) -> 75
(10, 8) -> 75
(10, 9) -> 75
(10, 10) -> 75
(10, 11) -> 75
(10, 12) -> 75
(15, 0) -> 11.25
(15, 1) -> 11.25
(15, 2) -> 11.25
(15, 3) -> 11.25
(15, 4) -> 11.25
(15, 5) -> 11.25
(15, 6) -> 11.25
(15, 7) -> 75
(15, 8) -> 75
(15, 9) -> 75
(15, 10) -> 75
(15, 11) -> 75
(15, 12) -> 75
(20, 0) -> 15
(20, 1) -> 15
(20, 2) -> 15
(20, 3) -> 15
(20, 4) -> 15
(20, 5) -> 15
(20, 6) -> 15
(20, 7) -> 75
(20, 8) -> 75
(20, 9) -> 75
(20, 10) -> 75
(20, 11) -> 75
(20, 12) -> 75
(25, 0) -> 18.75
(25, 1) -> 18.75
(25, 2) -> 18.75
(25, 3) -> 18.75
(25, 4) -> 18.75
(25, 5) -> 18.75
(25, 6) -> 18.75
(25, 7) -> 75
(25, 8) -> 75
(25, 9) -> 75
(25, 10) -> 75
(25, 11) -> 75
(25, 12) -> 75
(30, 0) -> 22.5
(30, 1) -> 22.5
(30, 2) -> 22.5
(30, 3) -> 22.5
(30, 4) -> 22.5
(30, 5) -> 22.5
(30, 6) -> 22.5
(30, 7) -> 75
(30, 8) -> 75
(30, 9) -> 75
(30, 10) -> 75
(30, 11) -> 75
(30, 12) -> 75
(35, 0) -> 26.25
(35, 1) -> 26.25
(35, 2) -> 26.25
(35, 3) -> 26.25
(35, 4) -> 26.25
(35, 5) -> 26.25
(35, 6) -> 26.25
(35, 7) -> 75
(35, 8) -> 75
(35, 9) -> 75
(35, 10) -> 75
(35, 11) -> 75
(35, 12) -> 75
(40, 0) -> 30
(40, 1) -> 30
(40, 2) -> 30
(40, 3) -> 30
(40, 4) -> 30
(40, 5) -> 30
(40, 6) -> 30
(40, 7) -> 75
(40, 8) -> 75
(40, 9) -> 75
(40, 10) -> 75
(40, 11) -> 75
(40, 12) -> 75
(45, 0) -> 33.75
(45, 1) -> 33.75
(45, 2) -> 33.75
(45, 3) -> 33.75
(45, 4) -> 33.75
(45, 5) -> 33.75
(45, 6) -> 33.75
(45, 7) -> 75
(45, 8) -> 75
(45, 9) -> 75
(45, 10) -> 75
(45, 11) -> 75
(45, 12) -> 75
(50, 0) -> 37.5
